materials_opaque_id,description,source,type,material_type,id,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,quantity,material_mult,labour_mult,op_mult,eqpt
18,"aluminum closure strips, mill finish. 0.032 "" thick",rs-means,Unit,opaque,090032,LF,,,,,,,,,,0.111,1.0,1.0,0.0,1.0
19,"joint sealants. tapes, foam, adhesive ",rs-means,Assembly,opaque,240033,CLF,,,,,,,,,,0.00397,1.0,1.0,0.0,1.0
20,"Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar",rs-means,Unit,opaque,060034,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
21,"Lintel angle, structural, unpainted, under 500 lb., shop fabricated",rs-means,Unit,opaque,070035,lb,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
22,"Sheet metal flashing, 0.019"" thick",rs-means,Assembly,opaque,240018,ft2,,,,,,,,,,0.1,1.0,1.0,0.0,1.0
23,"standard wood studs with single bottom plate and double top plate, 16"" O.C.",rs-means,Assembly,opaque,240036,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
24,"Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout",rs-means,Unit,opaque,060037,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
25,"masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally",rs-means,Unit,opaque,060038,CLF,,,,,,,,,,0.008,1.0,1.0,0.0,1.0
26,masonry #5 and #6 reinforcing bars placed vertically,rs-means,Unit,opaque,060039,lb,,,,,,,,,,0.43,1.0,1.0,0.0,1.0
27,"Control joint, PVC",rs-means,Unit,opaque,060040,LF,,,,,,,,,,0.05,1.0,1.0,0.0,1.0
28,"Grout, 8"" thick including pumping",rs-means,Unit,opaque,060041,ft2,,,,,,,,,,0.188,1.0,1.0,0.0,1.0
29,"XPS, 25 PSI, 3"" RSI 2.64 modified to 3.75"" RSI 3.33",rs-means,Unit,opaque,090042,ft2,,,,,,,,,,1.0,1.25,1.0,0.22,1.0
30,"fibreglass batts, 3.5 in thick RSI2.29",rs-means,Unit,opaque,090043,ft2,,,,,,,,,,1.0,1.0,1.0,0.27,1.0
31,"80 ton erection crane, truck mounted",rs-means,Unit,opaque,010044,Day,,,,,,,,,,0.000116,1.0,1.0,0.0,1.0
32,"C.I.P. forms, wood to 10 inches high, including erecting, bracing, stripping cleaning",rs-means,Unit,opaque,020045,LF,,,,,,,,,,0.24,1.0,1.0,0.0,1.0
33,"Form aligner for C.I.P. footing forms, material only",rs-means,Unit,opaque,020046,Ea,,,,,,,,,,0.056,1.0,1.0,0.0,1.0
34,"Slab lifting inserts, galvanized, 1"" diameter by 10"" high material only",rs-means,Unit,opaque,020047,C,,,,,,,,,,8e-05,1.0,1.0,0.0,1.0
35,"Welded wire fabric sheets 6""x6"" 42 lbs per Ft2, excludes accessories",rs-means,Unit,opaque,020048,ft2,,,,,,,,,,0.02,1.0,1.0,0.0,1.0
36,"Structural concrete, 3000 PSI, 6"" thick includes, levelling, excludes additives and treatment",rs-means,Unit,opaque,020049,yd3,,,,,,,,,,0.0125,1.0,1.0,0.0,1.0
37,"Concrete surface treatment, sprayed membrane compound",rs-means,Unit,opaque,020050,CSF,,,,,,,,,,0.01,1.0,1.0,0.0,1.0
38,"Tilt-up panel release agent, 1 gal/700ft2",rs-means,Unit,opaque,020051,Gal,,,,,,,,,,0.000285,1.0,1.0,0.0,1.0
39,"Angle framing structural steel, field fabricated",rs-means,Unit,opaque,070052,lb,,,,,,,,,,0.19,1.0,1.0,0.0,1.0
40,"XPS, 25 PSI, 2"" RSI 1.76",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,1.0,1.0,0.253,1.0
41,"Precast panel, 4 ft x 8 ft smooth white face finish, 4 inch thick, includes erection on prepared openings",rs-means,Unit,opaque,020054,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
42,"XPS, 25 PSI, 2 sheets of 2"" RSI 1.76 each total 4"" RSI 3.52",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,2.0,2.0,0.253,1.0
43,"fibreglass batts, 6 in thick RSI 3.35",rs-means,Unit,opaque,090055,ft2,,,,,,,,,,1.0,1.0,1.0,0.234,1.0
44,"C.I.P. forms, plywood to 8ft  high, including erecting, bracing, stripping cleaning",rs-means,Unit,opaque,021983,SFCA,,,,,,,,,,2.0,1.0,1.0,0.0,1.0
45,"Reinforcing Steel, #3 to #7, includes labour for accessories, but excludes accessories",rs-means,Unit,opaque,020057,ton,,,,,,,,,,0.000376,1.0,1.0,0.0,1.0
46,"Structural concrete, 3000 PSI, 6"" thick includes pumping, levelling, consolidation, excludes additives and treatment",rs-means,Unit,opaque,020049,yd3,,,,,,,,,,0.018,1.0,1.0,0.0,1.0
47,"Concrete finishing, surface treatment, patching, tie break-off",rs-means,Unit,opaque,020058,ft2,,,,,,,,,,2.0,1.0,1.0,0.0,1.0
48,"Steel siding, factory panel, galvanized, 22 gauge, colored 1 side and baked enamal exterior finish, includes 2 in. polystyrene modified to 3"" PS",rs-means,Unit,opaque,090059,ft2,,,,,,,,,,1.0,1.5,1.0,0.0,1.0
49,"fibreglass batts, 3.5 in thick RSI2.29 modified to 5 inch batt RSI 3.05",rs-means,Unit,opaque,090043,ft2,,,,,,,,,,1.0,1.33,1.0,0.272,1.0
50,"Spandrel glass 3/8"" plate",rs-means,Unit,opaque,100060,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
51,Aluminum panel with 2 inches fibreglass,rs-means,Unit,opaque,100061,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
52,"22 gauge sheet metal galvanized with 2"" fibreglass, polyvinyl exterior finish",rs-means,Unit,opaque,090059,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
53,"foil face fibreglass batts, 6 "" thick, 15"" wide, RSI 3.52",rs-means,Unit,opaque,090020,ft2,,,,,,,,,,1.0,1.0,1.0,0.229,1.0
54,"0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)",rs-means,Unit,opaque,090062,ft2,,,,,,,,,,1.0,1.0,1.0,0.405,1.0
55,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.5"" sheets: total 5"" RSI 4.4",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,2.5,2.0,0.253,1.0
56,"Isoboard, 1"" thick, RSI .98",rs-means,Unit,opaque,090063,ft2,,,,,,,,,,1.0,1.0,1.0,0.337,1.0
57,"XPS, 25 PSI, 2"" RSI 1.76",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,1.0,1.0,0.253,1.0
58,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.25"" sheets RSI 4",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,2.25,2.0,0.253,1.0
59,"XPS, 25 PSI, 2"" RSI 1.76 modified to 3 x 2"" sheets RSI 5.28",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,3.0,3.0,0.253,1.0
60,"fibreglass batts, 6 in thick RSI3.35",rs-means,Unit,opaque,090055,ft2,,,,,,,,,,1.0,1.0,1.0,0.234,1.0
61,"Polyurethane foam lining of spandrel panel, 1 "" RSI 1.14",rs-means,Unit,opaque,090064,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
62,"Polyurethane foam lining of spandrel panel, 1 "" RSI 1.14",rs-means,Unit,opaque,090064,ft2,,,,,,,,,,1.0,1.0,1.0,0.281,1.0
63,"Isoboard, 1.5"" thick, RSI 1.38",rs-means,Unit,opaque,090065,ft2,,,,,,,,,,1.0,1.0,1.0,0.34,1.0
64,"Polyurethane Foam 4.5"" thick, RSI 5.15 modifed to 5"" foaming RSI 5.67",rs-means,Unit,opaque,090066,ft2,,,,,,,,,,1.0,1.1,1.25,0.203,1.25
65,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.5"" sheets: total 5"" RSI 4.4",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,2.5,2.0,0.253,1.0
66,"Polyurethane foam lining of spandrel panel, 2 "" RSI 2.2",rs-means,Unit,opaque,090067,ft2,,,,,,,,,,1.0,1.0,1.0,0.2,1.0
67,"Isoboard sheathing, 2"" thick RSI 1.93",rs-means,Unit,opaque,091963,Ft2,,,,,,,,,,1.0,1.0,1.0,0.31,1.0
68,"Polyurethane Foam 4.5"" thick, RSI 5.15 modified to 5.5"" foaming RSI 6.18",rs-means,Unit,opaque,090066,ft2,,,,,,,,,,1.0,1.2,1.25,0.203,1.25
69,"fibreglass batts, 6 in thick RSI 3.34",rs-means,Unit,opaque,090055,ft2,,,,,,,,,,1.0,1.0,1.0,0.234,1.0
70,"Isoboard sheathing, 3"" thick RSI 2.88   2 sheets 6"" RSI 5.76",rs-means,Unit,opaque,090069,ft2,,,,,,,,,,1.0,2.0,2.0,0.207,1.0
71,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 x 2.5"" sheets: total 5"" RSI 4.4",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,2.5,2.0,0.253,1.0
72,"Polyurethane foam lining of spandrel panel, 3 "" RSI 3.42",rs-means,Unit,opaque,090070,ft2,,,,,,,,,,1.0,1.0,1.0,0.197,1.0
73,"Isoboard 3"" RSI 2.9, modified to 3.75"" sheet RSI 3.63",rs-means,Unit,opaque,090069,ft2,,,,,,,,,,1.0,1.25,1.0,0.207,1.0
74,"gypsumboard, 0.5 in. fire rated, no finish or taping",rs-means,Unit,opaque,110071,ft2,,,,,,,,,,1.0,1.0,1.0,0.378,1.0
75,"Isoboard 3"" RSI 2.9, modified to 4"" sheet RSI 3.85",rs-means,Unit,opaque,090069,ft2,,,,,,,,,,1.0,1.33,1.0,0.207,1.0
76,"Isoboard 4"" RSI 3.87 modified to 2x2.5"" sheets RSI 4.84",rs-means,Unit,opaque,091964,ft2,,,,,,,,,,1.0,1.25,2.0,0.195,1.0
77,"Isoboard 4"" RSI 3.87 modfied to 2 x 2.75"" sheets RSI 5.15",rs-means,Unit,opaque,091964,ft2,,,,,,,,,,1.0,1.33,2.0,0.195,1.0
78,"Polyurethane foam, closed cell, 4"", RSI 4.10 modified to 6""foaming RSI 6.15",rs-means,Unit,opaque,091950,ft2,,,,,,,,,,1.0,1.5,1.25,0.197,1.25
79,"Fibreglass Foil Faced 3 "" RSI 2.29",rs-means,Unit,opaque,090043,ft2,,,,,,,,,,1.0,1.0,1.0,0.27,1.0
80,"XPS, 25 PSI, 3"" RSI 2.64",rs-means,Unit,opaque,090042,ft2,,,,,,,,,,1.0,1.0,1.0,0.221,1.0
81,"Fibreglass Foil Faced High Density  3 "" RSI 2.64",rs-means,Unit,opaque,090074,ft2,,,,,,,,,,1.0,1.0,1.0,0.27,1.0
82,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 sheets 4"" RSI 3.52",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,2.0,2.0,0.253,1.0
83,"Fibreglass Foil Faced 6 "" RSI 3.7",rs-means,Unit,opaque,090075,ft2,,,,,,,,,,1.0,1.0,1.0,0.23,1.0
84,"XPS, 25 PSI, 2"" RSI 1.76 modified to 2 sheets 4"" RSI 3.52",rs-means,Unit,opaque,090053,ft2,,,,,,,,,,1.0,2.0,2.0,0.253,1.0
85,"XPS, 25 PSI, 3"" RSI 2.64 modified to 1x 3"" sheet and 1x 2.25"" sheet RSI 4.63",rs-means,Unit,opaque,090042,ft2,,,,,,,,,,1.0,1.75,2.0,0.221,1.0
86,"Polyurethance foam, 6"" RSI 5.28",rs-means,Unit,opaque,090076,ft2,,,,,,,,,,1.0,1.0,1.0,0.2,1.0
87,"asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck",rs-means,Unit,opaque,090077,SQ.,,,,,,,,,,0.01,1.0,1.0,0.378,1.0
88,"plywood underlayment 0.5"" thick",rs-means,Unit,opaque,080078,ft2,,,,,,,,,,1.0,1.0,1.0,0.225,1.0
89,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI modifed to 1x4"" + 1x1.25"" sheets RSI 4.4",rs-means,Unit,opaque,090079,ft2,,,,,,,,,,1.0,1.25,2.0,0.149,1.0
90,"Spruce Wood decking, 2 "" thick",rs-means,Unit,opaque,080080,ft2,,,,,,,,,,1.0,1.0,1.0,0.383,1.0
91,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI",rs-means,Unit,opaque,090079,ft2,,,,,,,,,,1.0,1.0,1.0,0.149,1.0
92,"Fibreglassboard, 1-5/16 inches thick RSI 0.92",rs-means,Unit,opaque,090081,ft2,,,,,,,,,,1.0,1.0,1.0,0.191,1.0
93,"Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge",rs-means,Unit,opaque,070082,ft2,,,,,,,,,,1.0,1.0,1.0,0.179,1.0
94,"60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping",rs-means,Unit,opaque,090083,SQ.,,,,,,,,,,0.01,1.0,1.0,0.29,1.0
95,"Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2",rs-means,Unit,opaque,090084,SQ.,,,,,,,,,,0.01,1.0,1.0,0.208,1.0
96,"Asphalt felt, #15",rs-means,Unit,opaque,090085,ft2,,,,,,,,,,1.0,1.0,1.0,0.538,1.0
97,Plywood underlayment 0.75' thick,rs-means,Unit,opaque,080086,ft2,,,,,,,,,,1.0,1.0,1.0,0.215,1.0
98,"Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer",rs-means,Unit,opaque,090087,SQ.,,,,,,,,,,0.01,1.0,1.0,0.3,1.0
99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)",rs-means,Unit,opaque,090088,ft2,,,,,,,,,,1.0,1.0,1.0,0.36,1.0
100,"Isoboard, 1.5 in thick RSI 1.48",rs-means,Unit,opaque,090089,ft2,,,,,,,,,,1.0,1.0,1.0,0.238,1.0
101,"12"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 6.69)",rs-means,Unit,opaque,090090,ft2,,,,,,,,,,1.0,1.0,1.0,0.312,1.0
102,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI modifed to 1x4"" + 1x2"" sheets RSI 5.28",rs-means,Unit,opaque,090079,ft2,,,,,,,,,,1.0,1.5,2.0,0.149,1.0
103,"Isoboard, 0.75 in thick RSI .72",rs-means,Unit,opaque,090091,ft2,,,,,,,,,,1.0,1.0,1.0,0.27,1.0
104,"18"" thick fibreglass blown ceiling (RSI 7.9) ",rs-means,Unit,opaque,090092,ft2,,,,,,,,,,1.0,1.2,1.0,0.305,1.0
105,"16"" thick fibreglass blown ceiling (RSI 6.7)",rs-means,Unit,opaque,090092,ft2,,,,,,,,,,1.0,1.0,1.0,0.305,1.0
106,"roof deck extruded polystyrene, 4"" (RSI 3.52), 25 PSI modifed to 2x4"" sheets RSI 7.04",rs-means,Unit,opaque,090079,ft2,,,,,,,,,,1.0,2.0,2.0,0.149,1.0
107,"20"" thick fibreglass blown ceiling (RSI 8.63)",rs-means,Unit,opaque,090093,ft2,,,,,,,,,,1.0,1.0,1.0,0.31,1.0
108,gypsum wallboard 0.5 in thick,rs-means,Unit,opaque,110017,ft2,,,,,,,,,,1.0,1.0,1.0,,1.0
109,"Roof Insulation fastening, 4"" screws",rs-means,Unit,opaque,090094,Ea.,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
110,"C.I.P. forms elevated slab floor hung from steel beams, including shoring, erection, bracing",rs-means,Unit,opaque,020095,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
111,"C.I.P. forms elevated slab edge forms, including shoring, erection, bracing",rs-means,Unit,opaque,020096,SFCA,,,,,,,,,,0.2,1.0,1.0,0.0,1.0
112,"Reinforcing steel for elevated slabs and ceilings/roofa, grade 60, all assembly and accessories",rs-means,Unit,opaque,020097,ton,,,,,,,,,,0.001275,1.0,1.0,0.0,1.0
113,"Structural concrete, 3000 PSI, complete delivered and pum,ped in place",rs-means,Unit,opaque,020049,yd3,,,,,,,,,,0.0231,1.0,1.0,0.0,1.0
114,"Concrete surface treatment, curing, sprayed membrane compound",rs-means,Unit,opaque,020050,C.S.F.,,,,,,,,,,0.01,1.0,1.0,0.0,1.0
115,"Sprayed fireproofing, vermiculite cement, 0.25""",rs-means,Unit,opaque,090098,ft2,,,,,,,,,,1.0,1.0,1.0,0.177,1.0
116,"Roof Insulation fastening, 4"" screws modifed to 8"" screws",rs-means,Assembly,opaque,250099,Ea.,,,,,,,,,,1.0,2.0,1.0,0.0,1.0
117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load",rs-means,Unit,opaque,070100,LF,,,,,,,,,,0.22,1.0,1.0,0.0,1.0
118,"3/4"" thick CDX plywood subfloor, pneumatic nailed",rs-means,Unit,opaque,080101,ft2,,,,,,,,,,1.0,1.0,1.0,0.27,1.0
119,"Steel siding, bevelled with vinyl finish, 10"" width",rs-means,Unit,opaque,090102,ft2,,,,,,,,,,1.0,1.0,1.0,0.31,1.0
120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load",rs-means,Unit,opaque,080103,MBF,,,,,,,,,,0.00091,1.0,1.0,0.0,1.0
121,"Isoboard, 1.5 "" 4 x 8 sheet, foil faced (RSI 1.28)",rs-means,Unit,opaque,090065,ft2,,,,,,,,,,1.0,1.0,1.0,0.34,1.0
122,"6"" sprayed polyurethane foam (RSI 6.86) modifed to 9"" foaming RSI 10.3",rs-means,Unit,opaque,090076,ft2,,,,,,,,,,1.0,1.5,1.25,0.21,1.25
123,"Concrete forms, wooden, erecting, bracing, stripping, cleaning",rs-means,Unit,opaque,020045,LF,,,,,,,,,,0.03,1.0,1.0,0.0,1.0
124,"Expansion joint, premolded bituminous fiber",rs-means,Unit,opaque,020104,LF,,,,,,,,,,0.22,1.0,1.0,0.0,1.0
125,"Welded wire, 6 x 6 sheets, 30 lbs/ft2",rs-means,Unit,opaque,020105,CSF,,,,,,,,,,0.012,1.0,1.0,0.0,1.0
126,"Structural concrete, ready mix 3500 psi, local aggregate, Type 1 Portland cement, no additives",rs-means,Unit,opaque,020106,yd3,,,,,,,,,,0.019,1.0,1.0,0.0,1.0
127,"Structural concrete, placing, slab on grade, direct chute, over 6\"" thick, includes leveling ",rs-means,Unit,opaque,020107,yd3,,,,,,,,,,0.019,1.0,1.0,0.0,1.0
128,"Concrete finishing, specified Random Access Floors ACI Classes 1, 2, 3 & 4",rs-means,Unit,opaque,020108,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
129,"Concrete surface treatment, sprayed membrane",rs-means,Unit,opaque,020050,CSF,,,,,,,,,,0.01,1.0,1.0,0.0,1.0
130,"Vapur barrier, polyethylene 6 mil",rs-means,Unit,opaque,090109,SQ,,,,,,,,,,0.01,1.0,1.0,0.0,1.0
131,"Fine grading, finish grading, small area, to be paved with grader",rs-means,Unit,opaque,200110,SY,,,,,,,,,,0.11,1.0,1.0,0.0,1.0
132,"Fill, gravel fill, compacted, under floor slabs, 4\"" deep",rs-means,Unit,opaque,200111,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
133,"Isoboard, 38 mm RSI 1.44",rs-means,Unit,opaque,090089,ft2,,,,,,,,,,1.0,1.0,1.0,0.237,1.0
134,"XPS, 3"" 2.64",rs-means,Unit,opaque,090112,ft2,,,,,,,,,,1.0,1.0,1.0,0.18,1.0
135,"Concrete finishing, fresh concrete flatwork, floors, basic finishing for unspecified flatwork",rs-means,Unit,opaque,020113,ft2,,,,,,,,,,1.5,1.0,1.0,0.0,1.0
136,"Washing brick, smooth brick, acid wash",rs-means,Unit,opaque,060114,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
137,"Structural concrete, placing, slab on grade, direct chute, up to 6\"" thick, includes leveling ",rs-means,Unit,opaque,020115,yd3,,,,,,,,,,0.025,1.0,1.0,0.0,1.0
138,"Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate",rs-means,Unit,opaque,080116,LF,,,,,,,,,,0.1,1.0,1.0,0.0,1.0
139,"Sheet metal flashing, aluminum, flexible, mill finish, .019\"" thick, including up to 4 bends",rs-means,Unit,opaque,090117,ft2,,,,,,,,,,0.1,1.0,1.0,0.0,1.0
140,"Pre-formed joint seals, backer rod, polyethylene, 1/4\"" dia""",rs-means,Unit,opaque,090118,CLF,,,,,,,,,,0.001,1.0,1.0,0.0,1.0
141,"Joint sealants, caulking and sealants, butyl based, bulk, 1/4\"" x 1/2\""",rs-means,Unit,opaque,090119,LF,,,,,,,,,,0.125,1.0,1.0,0.0,1.0
142,"Structural concrete, placing, walls, pumped, 8\"" thick, includes leveling (strike off) & consolidation",rs-means,Unit,opaque,020120,yd3,,,,,,,,,,0.018,1.0,1.0,0.0,1.0
143,"Concrete finishing, specified Random Access Floors ACI Classes 1, 2, 3 & 4,",rs-means,Unit,opaque,020108,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
144,"Structural concrete, placing, elevated slab, pumped, 6\"" to 10\"" thick, includes leveling (strike off) & consolidation",rs-means,Unit,opaque,020121,yd3,,,,,,,,,,0.625,1.0,1.0,0.0,1.0
145,Installation of 14 gauge steel floor joist to beams/headers,rs-means,Unit,opaque,070122,Ea.,,,,,,,,,,0.3,1.0,1.0,0.0,1.0
146,"Metal Door 20 gauge, includes hardware",rs-means,Unit,opaque,100123,Ea.,,,,,,,,,,0.0476,1.0,1.0,0.0,1.0
147,"Aluminum Commercial Entrance pair of 2'-6"" x 7'-0"" includes hardware",rs-means,Unit,opaque,100124,Ea.,,,,,,,,,,0.02857,1.0,1.0,0.0,1.0
148,"Fibreglass Door, 3'-0"" x 7'-0', includes hardware",rs-means,Unit,opaque,100125,Ea.,,,,,,,,,,0.0476,1.0,1.0,0.0,1.0
149,"Steel Overhead Rolling Door, 10'-0 x 10'-0'  includes hardware",rs-means,Unit,opaque,100126,Ea.,,,,,,,,,,0.01,1.0,1.0,0.0,1.0
150,"XPS, 25 PSI, 1"" RSI 0.88",rs-means,Unit,opaque,090127,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
151,"XPS, 25 PSI, 1"" RSI 0.88 modifed to 1.5"" sheet RSI 1.32",rs-means,Unit,opaque,090127,ft2,,,,,,,,,,1.0,1.5,1.0,0.253,1.0
152,"Isoboard, 1"" RSI 1.94 modified to 2"" RSI 3.88",rs-means,Unit,opaque,090128,ft2,,,,,,,,,,1.0,2.0,1.0,0.237,1.0
153,"Fibreglasboard 1"" RSI 0.69",rs-means,Unit,opaque,090129,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
154,10 inch fibreglass insulation RSI 5.86,rs-means,Unit,opaque,090088,ft2,,,,,,,,,,1.0,1.05,1.0,0.36,1.0
155,"Fibreglass Foil Faced 6 "" RSI 3.7 batts, 2 batts installed, modifed to 2 6"" batts back to back RSI 7.4",rs-means,Unit,opaque,090075,ft2,,,,,,,,,,1.0,2.0,2.0,0.23,1.0
156,concrete cutting through wall per inch of thickness,rs-means,Unit,opaque,020130,LF,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
157,"galvanized LB studs, 16 ga x 6\"" W studs 16\"" O.C. x 10' H, incl galvanized top & bottom track, excl openings, headers, beams, bracing & bridging",rs-means,Unit,opaque,070131,LF,,,,,,,,,,0.1,1.0,1.0,0.0,1.0
158,"XPS, 3/4"" RSI 0.501",rs-means,Unit,opaque,080132,ft2,,,,,,,,,,1.0,1.0,1.0,0.0,1.0
159,"fibreglass batts, 6 in thick RSI 3.7",rs-means,Unit,opaque,090020,ft2,,,,,,,,,,1.0,1.0,1.0,0.234,1.0
160,"Fibreglass Foil Faced 6 "" RSI 3.7 batts",rs-means,Unit,opaque,090075,ft2,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
161,"Kraft faced fiberglass, 3-1/2"" thick, 23"" wide, RSI1.93",rs-means,Unit,opaque,090133,ft2,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
162,"Kraft faced fiberglass, 3-1/2"" thick, 23"" wide, RSI2.29",rs-means,Unit,opaque,090134,ft2,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
163,"Polyurethane Foam 4.5"" thick, RSI5.72",rs-means,Unit,opaque,090066,ft2,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
164,"Blanket Inuslation for floors/ceilings, fibreglass, unfaced, 12"" thick, including spring type wire with fasteners",custom,Unit,opaque,091947,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
